Timestamp,Sensor ID,Vehicle Count,Average Speed (km/h),Density (%)
2026-08-09 09:27:00,SENS-1000,217,39,72
2026-08-09 09:42:00,SENS-1000,127,37,42
2026-08-09 09:57:00,SENS-1000,171,25,56
2026-08-09 10:12:00,SENS-1000,74,66,24
2026-08-09 10:27:00,SENS-1000,103,65,34
2026-08-09 10:42:00,SENS-1000,88,60,29
2026-08-09 10:57:00,SENS-1000,57,49,19
2026-08-09 11:12:00,SENS-1000,79,37,26
2026-08-09 11:27:00,SENS-1000,71,63,23
2026-08-09 11:42:00,SENS-1000,141,58,47
2026-08-09 11:57:00,SENS-1000,92,70,30
2026-08-09 12:12:00,SENS-1000,75,47,25
2026-08-09 12:27:00,SENS-1000,70,47,23
2026-08-09 12:42:00,SENS-1000,97,60,32
2026-08-09 12:57:00,SENS-1000,74,63,24
2026-08-09 13:12:00,SENS-1000,133,65,44
2026-08-09 13:27:00,SENS-1000,187,44,62
2026-08-09 13:42:00,SENS-1000,149,41,49
2026-08-09 13:57:00,SENS-1000,111,49,37
2026-08-09 14:12:00,SENS-1000,67,59,22
2026-08-09 14:27:00,SENS-1000,104,56,34
2026-08-09 14:42:00,SENS-1000,100,71,33
2026-08-09 14:57:00,SENS-1000,88,46,29
2026-08-09 15:12:00,SENS-1000,83,56,27
2026-08-09 15:27:00,SENS-1000,52,55,17
2026-08-09 15:42:00,SENS-1000,67,73,22
2026-08-09 15:57:00,SENS-1000,61,58,20
2026-08-09 16:12:00,SENS-1000,284,22,94
2026-08-09 16:27:00,SENS-1000,304,14,100
2026-08-09 16:42:00,SENS-1000,223,30,74
2026-08-09 16:57:00,SENS-1000,142,18,67
2026-08-09 17:12:00,SENS-1000,168,30,56
2026-08-09 17:27:00,SENS-1000,126,19,62
2026-08-09 17:42:00,SENS-1000,272,16,100
2026-08-09 17:57:00,SENS-1000,202,33,67
2026-08-09 18:12:00,SENS-1000,360,11,100
2026-08-09 18:27:00,SENS-1000,246,11,100
2026-08-09 18:42:00,SENS-1000,217,15,92
2026-08-09 18:57:00,SENS-1000,186,19,82
2026-08-09 19:12:00,SENS-1000,312,22,100
2026-08-09 19:27:00,SENS-1000,115,17,58
2026-08-09 19:42:00,SENS-1000,233,11,97
2026-08-09 19:57:00,SENS-1000,215,30,71
2026-08-09 20:12:00,SENS-1000,134,67,44
2026-08-09 20:27:00,SENS-1000,133,40,44
2026-08-09 20:42:00,SENS-1000,129,49,43
2026-08-09 20:57:00,SENS-1000,95,51,31
2026-08-09 21:12:00,SENS-1000,157,55,52
2026-08-09 21:27:00,SENS-1000,112,38,37
2026-08-09 21:42:00,SENS-1000,104,63,34
2026-08-09 21:57:00,SENS-1000,71,73,23
2026-08-09 22:12:00,SENS-1000,105,41,35
2026-08-09 22:27:00,SENS-1000,90,49,30
2026-08-09 22:42:00,SENS-1000,99,48,33
2026-08-09 22:57:00,SENS-1000,120,49,40
2026-08-09 23:12:00,SENS-1000,51,89,17
2026-08-09 23:27:00,SENS-1000,52,62,17
2026-08-09 23:42:00,SENS-1000,33,77,11
2026-08-09 23:57:00,SENS-1000,40,72,13
2026-08-10 00:12:00,SENS-1000,42,79,14
2026-08-10 00:27:00,SENS-1000,43,84,14
2026-08-10 00:42:00,SENS-1000,11,71,3
2026-08-10 00:57:00,SENS-1000,12,61,4
2026-08-10 01:12:00,SENS-1000,40,84,13
2026-08-10 01:27:00,SENS-1000,14,88,4
2026-08-10 01:42:00,SENS-1000,46,54,15
2026-08-10 01:57:00,SENS-1000,39,96,13
2026-08-10 02:12:00,SENS-1000,29,90,9
2026-08-10 02:27:00,SENS-1000,9,80,3
2026-08-10 02:42:00,SENS-1000,46,89,15
2026-08-10 02:57:00,SENS-1000,13,78,4
2026-08-10 03:12:00,SENS-1000,16,73,5
2026-08-10 03:27:00,SENS-1000,12,76,4
2026-08-10 03:42:00,SENS-1000,17,91,5
2026-08-10 03:57:00,SENS-1000,21,72,7
2026-08-10 04:12:00,SENS-1000,23,69,7
2026-08-10 04:27:00,SENS-1000,34,87,11
2026-08-10 04:42:00,SENS-1000,24,66,8
2026-08-10 04:57:00,SENS-1000,33,67,11
2026-08-10 05:12:00,SENS-1000,43,65,14
2026-08-10 05:27:00,SENS-1000,45,71,15
2026-08-10 05:42:00,SENS-1000,13,69,4
2026-08-10 05:57:00,SENS-1000,70,76,23
2026-08-10 06:12:00,SENS-1000,60,69,20
2026-08-10 06:27:00,SENS-1000,104,47,34
2026-08-10 06:42:00,SENS-1000,43,51,14
2026-08-10 06:57:00,SENS-1000,78,58,26
2026-08-10 07:12:00,SENS-1000,155,33,51
2026-08-10 07:27:00,SENS-1000,204,18,88
2026-08-10 07:42:00,SENS-1000,244,19,100
2026-08-10 07:57:00,SENS-1000,137,27,45
2026-08-10 08:12:00,SENS-1000,301,10,100
2026-08-10 08:27:00,SENS-1000,262,37,87
2026-08-10 08:42:00,SENS-1000,183,27,61
2026-08-10 08:57:00,SENS-1000,376,9,100
2026-08-10 09:12:00,SENS-1000,238,11,99
2026-08-10 09:27:00,SENS-1000,167,11,75
2026-08-10 09:42:00,SENS-1000,230,23,76
2026-08-10 09:57:00,SENS-1000,272,18,100
2026-08-10 10:12:00,SENS-1000,86,43,28
2026-08-10 10:27:00,SENS-1000,174,61,57
2026-08-10 10:42:00,SENS-1000,143,58,47
2026-08-10 10:57:00,SENS-1000,70,58,23
2026-08-10 11:12:00,SENS-1000,191,59,63
2026-08-10 11:27:00,SENS-1000,71,58,23
2026-08-10 11:42:00,SENS-1000,127,76,42
2026-08-10 11:57:00,SENS-1000,80,65,26
2026-08-10 12:12:00,SENS-1000,94,51,31
2026-08-10 12:27:00,SENS-1000,52,57,17
2026-08-10 12:42:00,SENS-1000,83,50,27
2026-08-10 12:57:00,SENS-1000,125,65,41
2026-08-10 13:12:00,SENS-1000,69,59,23
2026-08-10 13:27:00,SENS-1000,55,42,18
2026-08-10 13:42:00,SENS-1000,138,72,46
2026-08-10 13:57:00,SENS-1000,170,44,56
2026-08-10 14:12:00,SENS-1000,106,43,35
2026-08-10 14:27:00,SENS-1000,145,39,48
2026-08-10 14:42:00,SENS-1000,95,52,31
2026-08-10 14:57:00,SENS-1000,95,69,31
2026-08-10 15:12:00,SENS-1000,114,79,38
2026-08-10 15:27:00,SENS-1000,118,63,39
2026-08-10 15:42:00,SENS-1000,44,41,14
2026-08-10 15:57:00,SENS-1000,49,44,16
2026-08-10 16:12:00,SENS-1000,103,18,54
2026-08-10 16:27:00,SENS-1000,255,29,85
2026-08-10 16:42:00,SENS-1000,222,28,74
2026-08-10 16:57:00,SENS-1000,211,18,90
2026-08-10 17:12:00,SENS-1000,90,45,30
2026-08-10 17:27:00,SENS-1000,154,23,51
2026-08-10 17:42:00,SENS-1000,214,13,91
2026-08-10 17:57:00,SENS-1000,245,15,100
2026-08-10 18:12:00,SENS-1000,308,32,100
2026-08-10 18:27:00,SENS-1000,154,22,51
2026-08-10 18:42:00,SENS-1000,185,36,61
2026-08-10 18:57:00,SENS-1000,247,30,82
2026-08-10 19:12:00,SENS-1000,290,37,96
2026-08-10 19:27:00,SENS-1000,143,10,67
2026-08-10 19:42:00,SENS-1000,159,15,73
2026-08-10 19:57:00,SENS-1000,195,17,85
2026-08-10 20:12:00,SENS-1000,96,68,32
2026-08-10 20:27:00,SENS-1000,66,51,22
2026-08-10 20:42:00,SENS-1000,69,53,23
2026-08-10 20:57:00,SENS-1000,139,49,46
2026-08-10 21:12:00,SENS-1000,131,65,43
2026-08-10 21:27:00,SENS-1000,86,58,28
2026-08-10 21:42:00,SENS-1000,71,61,23
2026-08-10 21:57:00,SENS-1000,50,74,16
2026-08-10 22:12:00,SENS-1000,82,61,27
2026-08-10 22:27:00,SENS-1000,69,48,23
2026-08-10 22:42:00,SENS-1000,92,43,30
2026-08-10 22:57:00,SENS-1000,139,52,46
2026-08-10 23:12:00,SENS-1000,54,99,18
2026-08-10 23:27:00,SENS-1000,34,90,11
2026-08-10 23:42:00,SENS-1000,25,72,8
2026-08-10 23:57:00,SENS-1000,11,96,3
2026-08-11 00:12:00,SENS-1000,11,84,3
2026-08-11 00:27:00,SENS-1000,19,48,6
2026-08-11 00:42:00,SENS-1000,12,54,4
2026-08-11 00:57:00,SENS-1000,12,88,4
2026-08-11 01:12:00,SENS-1000,37,66,12
2026-08-11 01:27:00,SENS-1000,23,69,7
2026-08-11 01:42:00,SENS-1000,26,73,8
2026-08-11 01:57:00,SENS-1000,34,59,11
2026-08-11 02:12:00,SENS-1000,13,64,4
2026-08-11 02:27:00,SENS-1000,35,56,11
2026-08-11 02:42:00,SENS-1000,24,84,8
2026-08-11 02:57:00,SENS-1000,32,83,10
2026-08-11 03:12:00,SENS-1000,13,87,4
2026-08-11 03:27:00,SENS-1000,12,84,4
2026-08-11 03:42:00,SENS-1000,24,63,8
2026-08-11 03:57:00,SENS-1000,13,89,4
2026-08-11 04:12:00,SENS-1000,32,96,10
2026-08-11 04:27:00,SENS-1000,23,79,7
2026-08-11 04:42:00,SENS-1000,51,92,17
2026-08-11 04:57:00,SENS-1000,48,66,16
2026-08-11 05:12:00,SENS-1000,21,63,7
2026-08-11 05:27:00,SENS-1000,59,73,19
2026-08-11 05:42:00,SENS-1000,11,75,3
2026-08-11 05:57:00,SENS-1000,21,91,7
2026-08-11 06:12:00,SENS-1000,147,41,49
2026-08-11 06:27:00,SENS-1000,123,51,41
2026-08-11 06:42:00,SENS-1000,91,61,30
2026-08-11 06:57:00,SENS-1000,89,48,29
2026-08-11 07:12:00,SENS-1000,317,32,100
2026-08-11 07:27:00,SENS-1000,331,10,100
2026-08-11 07:42:00,SENS-1000,183,13,81
2026-08-11 07:57:00,SENS-1000,314,13,100
2026-08-11 08:12:00,SENS-1000,113,38,37
2026-08-11 08:27:00,SENS-1000,264,16,100
2026-08-11 08:42:00,SENS-1000,204,29,68
2026-08-11 08:57:00,SENS-1000,272,12,100
2026-08-11 09:12:00,SENS-1000,345,13,100
2026-08-11 09:27:00,SENS-1000,223,20,74
2026-08-11 09:42:00,SENS-1000,107,26,35
2026-08-11 09:57:00,SENS-1000,324,28,100
2026-08-11 10:12:00,SENS-1000,150,56,50
2026-08-11 10:27:00,SENS-1000,74,49,24
2026-08-11 10:42:00,SENS-1000,60,45,20
2026-08-11 10:57:00,SENS-1000,113,69,37
2026-08-11 11:12:00,SENS-1000,64,72,21
2026-08-11 11:27:00,SENS-1000,75,51,25
2026-08-11 11:42:00,SENS-1000,130,60,43
2026-08-11 11:57:00,SENS-1000,143,44,47
2026-08-11 12:12:00,SENS-1000,125,85,41
2026-08-11 12:27:00,SENS-1000,52,55,17
2026-08-11 12:42:00,SENS-1000,90,63,30
2026-08-11 12:57:00,SENS-1000,74,45,24
2026-08-11 13:12:00,SENS-1000,164,56,54
2026-08-11 13:27:00,SENS-1000,93,65,31
2026-08-11 13:42:00,SENS-1000,133,41,44
2026-08-11 13:57:00,SENS-1000,60,52,20
2026-08-11 14:12:00,SENS-1000,163,67,54
2026-08-11 14:27:00,SENS-1000,51,49,17
2026-08-11 14:42:00,SENS-1000,97,37,32
2026-08-11 14:57:00,SENS-1000,81,52,27
2026-08-11 15:12:00,SENS-1000,64,47,21
2026-08-11 15:27:00,SENS-1000,74,49,24
2026-08-11 15:42:00,SENS-1000,114,54,38
2026-08-11 15:57:00,SENS-1000,89,47,29
2026-08-11 16:12:00,SENS-1000,179,15,79
2026-08-11 16:27:00,SENS-1000,316,14,100
2026-08-11 16:42:00,SENS-1000,161,21,53
2026-08-11 16:57:00,SENS-1000,162,37,54
2026-08-11 17:12:00,SENS-1000,192,33,64
2026-08-11 17:27:00,SENS-1000,280,36,93
2026-08-11 17:42:00,SENS-1000,209,18,89
2026-08-11 17:57:00,SENS-1000,187,23,62
2026-08-11 18:12:00,SENS-1000,202,27,67
2026-08-11 18:27:00,SENS-1000,197,29,65
2026-08-11 18:42:00,SENS-1000,201,30,67
2026-08-11 18:57:00,SENS-1000,230,38,76
2026-08-11 19:12:00,SENS-1000,232,24,77
2026-08-11 19:27:00,SENS-1000,154,13,71
2026-08-11 19:42:00,SENS-1000,206,15,88
2026-08-11 19:57:00,SENS-1000,218,39,72
2026-08-11 20:12:00,SENS-1000,122,48,40
2026-08-11 20:27:00,SENS-1000,146,39,48
2026-08-11 20:42:00,SENS-1000,53,68,17
2026-08-11 20:57:00,SENS-1000,54,31,18
2026-08-11 21:12:00,SENS-1000,131,62,43
2026-08-11 21:27:00,SENS-1000,103,54,34
2026-08-11 21:42:00,SENS-1000,76,62,25
2026-08-11 21:57:00,SENS-1000,213,74,71
2026-08-11 22:12:00,SENS-1000,60,41,20
2026-08-11 22:27:00,SENS-1000,148,41,49
2026-08-11 22:42:00,SENS-1000,60,66,20
2026-08-11 22:57:00,SENS-1000,58,70,19
2026-08-11 23:12:00,SENS-1000,47,73,15
2026-08-11 23:27:00,SENS-1000,49,71,16
2026-08-11 23:42:00,SENS-1000,14,69,4
2026-08-11 23:57:00,SENS-1000,35,89,11
2026-08-12 00:12:00,SENS-1000,23,93,7
2026-08-12 00:27:00,SENS-1000,39,75,13
2026-08-12 00:42:00,SENS-1000,28,66,9
2026-08-12 00:57:00,SENS-1000,21,67,7
2026-08-12 01:12:00,SENS-1000,23,80,7
2026-08-12 01:27:00,SENS-1000,38,90,12
2026-08-12 01:42:00,SENS-1000,35,87,11
2026-08-12 01:57:00,SENS-1000,11,79,3
2026-08-12 02:12:00,SENS-1000,26,82,8
2026-08-12 02:27:00,SENS-1000,20,94,6
2026-08-12 02:42:00,SENS-1000,41,74,13
2026-08-12 02:57:00,SENS-1000,33,64,11
2026-08-12 03:12:00,SENS-1000,50,70,16
2026-08-12 03:27:00,SENS-1000,33,77,11
2026-08-12 03:42:00,SENS-1000,66,82,22
2026-08-12 03:57:00,SENS-1000,52,64,17
2026-08-12 04:12:00,SENS-1000,11,69,3
2026-08-12 04:27:00,SENS-1000,40,77,13
2026-08-12 04:42:00,SENS-1000,19,65,6
2026-08-12 04:57:00,SENS-1000,30,73,10
2026-08-12 05:12:00,SENS-1000,42,68,14
2026-08-12 05:27:00,SENS-1000,16,85,5
2026-08-12 05:42:00,SENS-1000,42,77,14
2026-08-12 05:57:00,SENS-1000,32,94,10
2026-08-12 06:12:00,SENS-1000,68,57,22
2026-08-12 06:27:00,SENS-1000,99,50,33
2026-08-12 06:42:00,SENS-1000,63,56,21
2026-08-12 06:57:00,SENS-1000,54,53,18
2026-08-12 07:12:00,SENS-1000,173,9,77
2026-08-12 07:27:00,SENS-1000,234,12,98
2026-08-12 07:42:00,SENS-1000,181,40,60
2026-08-12 07:57:00,SENS-1000,270,20,90
2026-08-12 08:12:00,SENS-1000,181,19,80
2026-08-12 08:27:00,SENS-1000,270,35,90
2026-08-12 08:42:00,SENS-1000,197,29,65
2026-08-12 08:57:00,SENS-1000,217,9,92
2026-08-12 09:12:00,SENS-1000,118,34,39
2026-08-12 09:27:00,SENS-1000,322,38,100
2026-08-12 09:42:00,SENS-1000,188,40,62
2026-08-12 09:57:00,SENS-1000,119,16,59
2026-08-12 10:12:00,SENS-1000,83,68,27
2026-08-12 10:27:00,SENS-1000,165,68,55
2026-08-12 10:42:00,SENS-1000,73,55,24
2026-08-12 10:57:00,SENS-1000,46,46,15
2026-08-12 11:12:00,SENS-1000,59,50,19
2026-08-12 11:27:00,SENS-1000,79,44,26
2026-08-12 11:42:00,SENS-1000,46,47,15
2026-08-12 11:57:00,SENS-1000,67,60,22
2026-08-12 12:12:00,SENS-1000,57,53,19
2026-08-12 12:27:00,SENS-1000,93,58,31
2026-08-12 12:42:00,SENS-1000,121,40,40
2026-08-12 12:57:00,SENS-1000,84,51,28
2026-08-12 13:12:00,SENS-1000,75,56,25
2026-08-12 13:27:00,SENS-1000,49,42,16
2026-08-12 13:42:00,SENS-1000,92,49,30
2026-08-12 13:57:00,SENS-1000,118,72,39
2026-08-12 14:12:00,SENS-1000,57,41,19
2026-08-12 14:27:00,SENS-1000,164,60,54
2026-08-12 14:42:00,SENS-1000,123,61,41
2026-08-12 14:57:00,SENS-1000,114,63,38
2026-08-12 15:12:00,SENS-1000,90,67,30
2026-08-12 15:27:00,SENS-1000,116,69,38
2026-08-12 15:42:00,SENS-1000,59,53,19
2026-08-12 15:57:00,SENS-1000,118,66,39
2026-08-12 16:12:00,SENS-1000,157,8,72
2026-08-12 16:27:00,SENS-1000,163,27,54
2026-08-12 16:42:00,SENS-1000,224,11,94
2026-08-12 16:57:00,SENS-1000,362,17,100
2026-08-12 17:12:00,SENS-1000,127,27,42
2026-08-12 17:27:00,SENS-1000,323,41,100
2026-08-12 17:42:00,SENS-1000,310,27,100
2026-08-12 17:57:00,SENS-1000,158,29,52
2026-08-12 18:12:00,SENS-1000,133,31,44
2026-08-12 18:27:00,SENS-1000,238,31,79
2026-08-12 18:42:00,SENS-1000,227,24,75
2026-08-12 18:57:00,SENS-1000,279,15,100
2026-08-12 19:12:00,SENS-1000,180,22,60
2026-08-12 19:27:00,SENS-1000,193,15,84
2026-08-12 19:42:00,SENS-1000,237,16,99
2026-08-12 19:57:00,SENS-1000,255,35,85
2026-08-12 20:12:00,SENS-1000,109,44,36
2026-08-12 20:27:00,SENS-1000,121,49,40
2026-08-12 20:42:00,SENS-1000,76,46,25
2026-08-12 20:57:00,SENS-1000,137,64,45
2026-08-12 21:12:00,SENS-1000,97,72,32
2026-08-12 21:27:00,SENS-1000,109,59,36
2026-08-12 21:42:00,SENS-1000,116,55,38
2026-08-12 21:57:00,SENS-1000,114,58,38
2026-08-12 22:12:00,SENS-1000,68,42,22
2026-08-12 22:27:00,SENS-1000,63,46,21
2026-08-12 22:42:00,SENS-1000,132,37,44
2026-08-12 22:57:00,SENS-1000,75,40,25
2026-08-12 23:12:00,SENS-1000,47,79,15
2026-08-12 23:27:00,SENS-1000,16,90,5
2026-08-12 23:42:00,SENS-1000,10,59,3
2026-08-12 23:57:00,SENS-1000,48,68,16
2026-08-13 00:12:00,SENS-1000,7,84,2
2026-08-13 00:27:00,SENS-1000,13,72,4
2026-08-13 00:42:00,SENS-1000,27,75,9
2026-08-13 00:57:00,SENS-1000,31,60,10
2026-08-13 01:12:00,SENS-1000,33,44,11
2026-08-13 01:27:00,SENS-1000,45,50,15
2026-08-13 01:42:00,SENS-1000,13,81,4
2026-08-13 01:57:00,SENS-1000,43,77,14
2026-08-13 02:12:00,SENS-1000,19,75,6
2026-08-13 02:27:00,SENS-1000,14,80,4
2026-08-13 02:42:00,SENS-1000,43,71,14
2026-08-13 02:57:00,SENS-1000,51,64,17
2026-08-13 03:12:00,SENS-1000,55,87,18
2026-08-13 03:27:00,SENS-1000,15,61,5
2026-08-13 03:42:00,SENS-1000,15,73,5
2026-08-13 03:57:00,SENS-1000,22,85,7
2026-08-13 04:12:00,SENS-1000,24,63,8
2026-08-13 04:27:00,SENS-1000,38,87,12
2026-08-13 04:42:00,SENS-1000,38,67,12
2026-08-13 04:57:00,SENS-1000,35,86,11
2026-08-13 05:12:00,SENS-1000,43,55,14
2026-08-13 05:27:00,SENS-1000,63,69,21
2026-08-13 05:42:00,SENS-1000,19,64,6
2026-08-13 05:57:00,SENS-1000,20,60,6
2026-08-13 06:12:00,SENS-1000,98,80,32
2026-08-13 06:27:00,SENS-1000,144,40,48
2026-08-13 06:42:00,SENS-1000,40,67,13
2026-08-13 06:57:00,SENS-1000,49,52,16
2026-08-13 07:12:00,SENS-1000,155,38,51
2026-08-13 07:27:00,SENS-1000,247,13,100
2026-08-13 07:42:00,SENS-1000,118,27,39
2026-08-13 07:57:00,SENS-1000,358,32,100
2026-08-13 08:12:00,SENS-1000,206,13,88
2026-08-13 08:27:00,SENS-1000,180,29,60
2026-08-13 08:42:00,SENS-1000,286,37,95
2026-08-13 08:57:00,SENS-1000,224,37,74
2026-08-13 09:12:00,SENS-1000,209,28,69
2026-08-13 09:27:00,SENS-1000,249,23,83
